course_number,instructor_name
110-0,Anjali Agarwal
110-0,Connor Patrick Bain
111-0,Sara Hodges Owsley
150-0,Anastasia Kurdia
211-0,Yiji Zhang
212-0,Anjali Agarwal
213-0,Branden Robert Ghena
214-0,Sruti Sakuntala Bhagavatula
301-0,Brenna Dee Argall
302-0,Samuel Leviton Kriegman
310-0,Joseph Edward Hummel
314-0,Darren Robert Gergle
315-0,Haoqi Zhang
321-0,Robert Findler
321-0,Dietrich Alexander Geisler
326-0,Joshua Stuart D'arcy
329-0,Eleanor Mary O'Rourke
336-0,Abhratanu Dutta
338-0,Kristian J Hammond
339-0,Andrew James Crotty
340-0,Aleksandar Kuzmanovic
343-0,Peter A Dinda
344-0,Kenneth D Forbus
348-0,Edith Elkind
348-0,Mohammed Anwarul Alam
349-0,Zachary David Wood-Doughty
351-1,Dietrich Alexander Geisler
354-0,Yan Chen
368-0,Nikolaos Hardavellas
374-0,Zachary David Wood-Doughty
388-0,Vincent St-Amour
394-0,Christopher K Riesbeck
396-0-1,Nivedita Arora
396-0-2,Jennie M Rogers
396-0-3,Christos Dimoulas
396-0-4,Lawrence A Birnbaum
396-0-4,Jeremy D Gilbert
396-0-5,Maia Cousins
396-0-7,Vincent St-Amour
396-0-8,Manling Li
397-0-1,Michael Stephen Horn
397-0-1,Paula Kay Hooper
397-0-2,Zach Wise
397-0-3,Nabil Iyad Alshurafa
398-0,Sruti Sakuntala Bhagavatula
407-0,Xiao Wang
415-0,Haoqi Zhang
445-0,Fabian E Bustamante
449-0,Bryan A. Pardo
450-0,Yan Chen
461-0,David William Demeter
468-0,Nikolaos Hardavellas
496-0-1,Nivedita Arora
496-0-2,Jennie M Rogers
496-0-3,Christos Dimoulas
496-0-4,Lawrence A Birnbaum
496-0-4,Jeremy D Gilbert
496-0-5,Maia Cousins
496-0-6,Michael Stephen Horn
496-0-9,Uriel J Wilensky
496-0-10,Emma Bertat Alexander
496-0-11,Kaitlin Nicole Smith
496-0-12,Dmitrii Avdiukhin
496-0-13,Julia Gaudio
497-0-2,Zach Wise
497-0-3,Nabil Iyad Alshurafa
497-0-4,Jessica Ruth Hullman
110-0,Aleksandar Kuzmanovic
111-0,Sara Owsley
150-0,Dietrich Geisler
211-0,Joseph Hummel
213-0,Nikos Hardavellas
214-0,Vincent St-Amour
217-0,Huiling Hu
262-0,Aravindan Vijayaraghavan
295-0,Ian Horswill
296-0,V.S. Subrahmanian
303-0,Lydia Tse
308-0,Sruti Bhagavatula
312-0,Sruti Bhagavatula
321-0,Dietrich Geisler
324-0,Christos Dimoulas
329-0,Maia Jacobs
335-0,Anjali Agarwal
336-0,Dmitrii Avdiukhin
338-0,Kristian Hammond
339-0,Jennie Rogers
341-0,Noshir Contractor
345-0,Fabián E. Bustamante
346-0,Branden Ghena
348-0,Mohammed Alam
349-0,Zach Wood-Doughty
349-0,Ruixiang Chai
352-0,Bryan Pardo
355-0,Yan Chen
358-0,Joseph Hummel
372-0,Uri Wilensky
394-0,Christopher Riesbeck
394-0,Todd Warren
396-0-1,Yiji Zhang
396-0-2,Karan Ahuja
396-0-3,Connor Bain
396-0-4,Edith Elkind
396-0-7,Nivedita Arora
396-0-8,Ian Horswill
396-0-9,Marcelo Worsley
396-0-10,Alok Nidhi Choudhary
396-0-11,Connor Bain
397-0-1,David Demeter
397-0-2,Yiji Zhang
397-0-3,Hamilton Murrah
397-0-4,Anastasia Kurdia
397-0-6,Marcelo Worsley
397-0-7,Aleksandar Kuzmanovic
397-0-8,Zach Wise
410-0,Michael Rubenstein
416-0,Han Liu
424-0,Christos Dimoulas
432-0,Jason Hartline
433-0,Branden Ghena
446-0,Peter Dinda
449-0,David Demeter
472-0,Uri Wilensky
496-0-2,Karan Ahuja
496-0-7,Nivedita Arora
496-0-8,Ian Horswill
496-0-9,Marcelo Worsley
496-0-10,Alok Nidhi Choudhary
496-0-11,Connor Bain
496-0-13,Xinyu Xing
496-0-14,Emma Alexander
