course_number,name,description
101-0,"Computer Science: Concepts, Philosophy, and Connections","General introduction to historical and current intellectual questions in computer science. Theory, systems, artificial intelligence, interfaces, software development, and interactions with business, politics, law, medicine, engineering, and other sciences."
110-0,Introduction to Computer Programming,"Introduction to programming practice using a modern programming language. Analysis and formulation of problems for computer solution. Systematic design, construction, and testing of programs. Substantial programming assignments. Not to be taken for credit with or afterCOMP_SCI 111-0."
111-0,Fundamentals of Computer Programming,"Fundamental concepts of computer programming with heavy emphasis on design of recursive algorithms and test-driven development. Functional, imperative, and object-oriented programming paradigms. Procedural abstraction, data abstraction, and modularity. Required for the computer science degree."
130-0,Tools and Technology of the World-Wide Web,"Introduction to the theory and practice of developing sites on and technology for the web. Basics of HTML, JavaScript, ASP, and CGI programming."
150-0,Fundamentals of Computer Programming 1.5,An introduction to Object-oriented programming: focus on Python but including a brief introduction to a statically typed language (e.g. C++). Students will use some approaches from Artificial Intelligence and Machine Learning to complete programming assignments. Required for the computer science degree.
211-0,Fundamentals of Computer Programming II,"Programming in statically-typed imperative languages.  The von Neuman machine model: pointers, address manipulation, and manual memory management.  Object-oriented programming and design.  The C/C++ language family.  Required for the computer science degree.  Not to be taken for credit with COMP_SCI 230-0."
212-0,Math Foundations of CS Part 1: Discrete Math for CS,"Basic concepts of finite and structural mathematics. Sets, axiomatic systems, the propositional and predicate calculi, and graph theory. Application to computer science: sequential machines, formal grammars, and software design."
213-0,Introduction to Computer Systems,The hierarchy of abstractions and implementations that make up a modern computer system; demystifying the machine and the tools used to program it; systems programming in C in the UNIX environment. Preparation for upper-level systems courses.
214-0,Data Structures & Algorithms,"Design, implementation, and performance analysis of abstract data types; data structures and their algorithms. Topics include fundamental collection classes, tree and graph representations and walks, search trees, sorting, priority queues and heaps, least-cost paths computations, and disjoint-set structures. Required for the computer science degree."
217-0,Data Management & Information Processing,"This class offers a hands-on introduction to data representation, data modelling, and the SQL language for accessing and analyzing data in relational databases. Students access and analyze data in real-world large-scale databases from the public domain. Not for computer science or computer engineering degree candidates."
295-0,Special Topics in Computer Science,Topics suggested by students or faculty and approved by the department.
301-0,Introduction to Robotics Laboratory,"Lab-based introduction to robotics, focusing on hardware (sensors/ actuators) and software (sensor processing/behavior development); motion control and planning; artificial intelligence; machine learning. Not open to graduate students except by consent of instructor."
310-0,Scalable Software Architectures,Teaches software design principles for building high-scale Internet services.  Focuses on challenges arising when assembling software services that run on many machines in parallel and which require the coordination of multiple software applications.
311-0,Inclusive Making,"Inclusive Making is about centering disability within computer science. The class explores the promises and shortcomings of making through a critical disability studies lens. It also looks at existing making practices within disability communities. Throughout the class, students reflect on their assumptions about disability and computer science, and wrestle with tensions related to making and accessibility alongside community organizations."
313-0,Tangible Interaction Design and Learning,"The use of tangible interaction to create innovative learning experiences, including distributed cognition, embodied interaction, cultural forms, and design frameworks."
314-0,Technology and Human Interaction,"Understanding human interactions that occur both with and through technology; design, creation, and evaluation of technologies to support such interactions."
